N,procs,block_size,time_seconds,checksum,GFLOPs
256,1,128,0.006263,4199507.547136,5.36
512,1,128,0.032445,33526118.721088,8.27
1024,1,128,0.229555,268310302.375923,9.35
2048,1,128,1.972250,2143508340.916700,8.71
256,2,128,0.001703,4199507.547136,19.70
512,2,128,0.014886,33526118.721088,18.03
1024,2,128,0.115235,268310302.375937,18.64
2048,2,128,0.939427,2143508340.916696,18.29
256,4,128,0.001872,4199507.547136,17.93
512,4,128,0.014320,33526118.721088,18.75
1024,4,128,0.091885,268310302.375938,23.37
2048,4,128,0.664492,2143508340.916740,25.85
256,8,128,0.000870,4199507.547136,38.57
512,8,128,0.008044,33526118.721088,33.37
1024,8,128,0.050528,268310302.375936,42.50
2048,8,128,0.421304,2143508340.916744,40.78
